Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,shsz300,CPURNSA,ECMSM3,FED M2,CNMSM2
2/29/2008,-0.035379708,0.000765039,0.000775864,-0.015238665,-0.016382626,0.082101102,0.050722391,-0.019665895,0.01165162,0.002899903,0.002300181,0.011066886,0.007675008
3/31/2008,-0.005977412,-0.031453259,-0.082522067,-0.032097673,-0.017602555,0.001996009,-0.060609224,-0.02628041,-0.20962705,0.00863086,0.008046286,0.008273002,0.004778159
4/30/2008,0.04645094,0.065370106,0.100514751,0.061404105,0.059680039,0.104602502,-0.043842668,0.009798361,0.043515927,0.006046462,0.010662236,0.005977586,0.014686875
5/30/2008,0.010617587,-0.005568016,0.034666506,0.021070708,0.003544169,0.137541839,0.010147192,0.00508984,-0.091945653,0.008385628,0.009796329,0.001238132,0.015962484
6/30/2008,-0.08988355,-0.073255682,-0.061641543,-0.100486168,-0.122796048,0.090117364,0.042944951,-0.005724445,-0.257382413,0.010026563,0.00180554,0.002120809,0.015737633
7/31/2008,-0.0099083,-0.038780703,-0.007786863,0.009496206,-0.009627125,-0.120307137,-0.012318922,0.010488119,0.00478469,0.005237273,0.003506151,0.005831752,0.007242726
8/29/2008,0.012116797,0.040680814,-0.02298352,-0.008876298,0.020336567,-0.083483314,-0.095096871,0.055177067,-0.159499079,-0.00399955,0.002652693,0.001781611,0.005550674
9/30/2008,-0.095180787,-0.139545967,-0.149294901,-0.096584367,-0.105915903,-0.149936279,0.046774286,0.026361447,-0.063870862,-0.001383976,0.007183905,0.008809611,0.008987076
10/31/2008,-0.185636486,-0.113293846,-0.272162319,-0.156162929,-0.14522549,-0.407402402,-0.184033797,0.074968003,-0.299088466,-0.010152698,0.013763293,0.013751812,0.000517863
11/28/2008,-0.077798346,-0.020618478,-0.007573218,-0.065989863,-0.066512899,-0.199803548,0.121372687,0.010270204,0.095252255,-0.019338688,0.004396866,0.007437968,0.012089494
