Date,spx,ukx,dax,shsz300,xau,eur,m2,usbgb090d,eur,dxy,gbp,jpy,cny
2006-01-06,7.158864,8.653785,8.619085,6.877327,6.291477,0.194826,8.807607,1.410506,0.194826,4.487625,0.571318,4.740051,2.087757
2006-01-13,7.160543,8.650149,8.609424,6.886338,6.323193,0.194085,8.810117,1.440295,0.194085,4.4874,0.574927,4.737776,2.087943
2006-01-20,7.140049,8.643368,8.584669,6.901073,6.318067,0.193509,8.811667,1.445511,0.193509,4.488299,0.571431,4.747451,2.086926
2006-01-27,7.157517,8.663335,8.638954,6.917309,6.327044,0.190124,8.813483,1.461483,0.190124,4.492225,0.56951,4.76499,2.087112
2006-02-03,7.14206,8.658571,8.64067,6.928508,6.343705,0.18432,8.811995,1.466175,0.18432,4.498587,0.567017,4.778703,2.087112
2006-02-10,7.144399,8.659404,8.648479,6.939583,6.311735,0.174289,8.812159,1.483491,0.174289,4.505902,0.556353,4.769497,2.085734
2006-02-17,7.160256,8.673547,8.664834,6.927921,6.313729,0.177309,8.813186,1.485879,0.177309,4.506896,0.555091,4.771193,2.085461
2006-02-24,7.161956,8.67599,8.677744,6.956012,6.326239,0.171934,8.816794,1.498231,0.171934,4.506565,0.557098,4.761319,2.084728
2006-03-03,7.160248,8.675683,8.651979,6.94859,6.337533,0.186065,8.818393,1.497856,0.186065,4.496025,0.562868,4.756861,2.084019
2006-03-10,7.155849,8.684046,8.666461,6.916616,6.293512,0.174793,8.817875,1.500188,0.174793,4.50921,0.545807,4.779208,2.085734
2006-03-17,7.175681,8.699415,8.679717,6.931491,6.317345,0.198031,8.8158,1.503951,0.198031,4.487737,0.563323,4.7529,2.083384
2006-03-24,7.172386,8.705547,8.695028,6.949473,6.328169,0.185317,8.817016,1.508912,0.185317,4.500587,0.555263,4.766098,2.083185
2006-03-31,7.166135,8.693597,8.694516,6.967052,6.369301,0.192107,8.818956,1.504502,0.192107,4.496805,0.552275,4.768818,2.081589
2006-04-07,7.166652,8.703855,8.691637,7.005925,6.378171,0.190042,8.818689,1.517485,0.190042,4.496359,0.555149,4.773224,2.080828
2006-04-14,7.161715,8.704403,8.68585,7.019842,6.401917,0.191446,8.820345,1.524231,0.191446,4.495244,0.560187,4.776515,2.081739
